id,price_sky,score_reviews_sky,location_sky
93025,2,5,6
385469,1,3,6
403602,3,5,6
562913,1,5,6
621791,2,5,6
713786,2,5,6
772574,2,5,6
982808,1,5,6
1261284,2,5,6
1448128,2,5,6
1482235,1,5,6
1668132,2,5,6
1816945,1,5,6
2064953,2,5,6
2389898,1,5,6
2404439,3,5,6
2439450,1,5,6
2477228,2,5,6
2624636,1,5,6
2638727,2,5,6
2689114,1,5,6
2690670,1,5,6
2759420,2,5,6
2913219,1,5,6
3046688,1,5,6
3136885,2,5,6
3296790,1,5,6
3298062,1,5,6
3298070,1,5,6
3753675,2,4,6
3980793,1,5,6
4133112,2,5,6
4179997,1,5,6
4328993,2,5,6
4773280,1,5,6
4817807,2,5,6
4828862,2,5,6
5183008,1,5,6
5268211,2,5,6
5370504,1,5,6
5493970,2,5,6
5527242,2,5,6
5722618,1,5,6
5784376,1,5,5
5808013,1,5,6
6127720,2,5,6
6455904,2,5,6
6526319,2,5,6
6564247,2,5,6
6809102,2,5,6
7587908,2,5,6
7649494,2,5,6
8162536,1,5,6
8206516,2,4,6
8510816,1,5,6
8659972,1,5,6
9242343,1,5,6
9365488,1,5,6
10691780,1,5,6
11143765,2,5,6
11265778,2,5,6
11297572,2,5,6
11764164,1,5,6
11767299,1,5,6
11960278,1,5,6
12161199,1,5,6
12259136,1,5,6
12301709,1,5,6
12525339,3,5,6
12525731,2,5,6
12869757,2,5,6
13519944,1,5,6
13722019,1,5,6
14679853,1,5,6
14736099,1,5,6
15152672,1,5,6
15185963,1,5,6
16105752,2,5,6
16171400,1,5,6
16293355,1,5,5
16530444,2,5,6
16649002,2,5,6
16649398,1,5,6
16941569,2,5,6
17130171,1,4,6
17380331,2,5,6
17648619,2,5,6
17651589,2,5,6
17678619,2,5,6
17827110,1,5,6
17948212,2,5,6
18076520,1,5,5
18358193,1,5,6
19129064,1,5,6
19138786,1,5,6
19313510,1,5,6
19709653,2,5,6
20208062,1,5,6
20293773,1,5,6
21077396,1,5,6
