id,price_sky,score_reviews_sky,location_sky
271845,1,5,6
431719,5,5,6
874880,3,5,6
1058053,2,5,6
1453656,2,5,6
1739580,2,5,6
1765953,3,5,6
1988879,3,5,6
2066529,4,5,6
2609905,2,5,6
2777575,2,5,6
3036637,3,5,6
4067782,3,5,6
4123599,2,5,6
4243217,4,5,6
4845962,2,5,6
4861723,2,5,6
5182923,3,5,6
5226701,2,5,6
5401931,2,5,6
5555208,2,5,6
5588175,3,5,6
5668488,2,5,6
5674748,2,5,6
5811136,3,5,6
5887734,2,5,6
5911663,8,5,6
5924639,3,5,6
6084427,2,5,6
7083838,2,5,6
7274792,2,5,6
7573871,3,5,6
8364341,2,5,6
8500642,2,5,6
9067861,2,5,6
9354309,2,5,6
9913205,2,5,6
10150665,2,5,6
10162459,2,5,6
10426791,2,5,6
11408141,2,5,6
11667284,2,5,6
11897569,2,5,6
12019397,2,5,6
12031670,4,5,6
12381287,3,5,6
13268864,2,5,6
13616397,4,5,6
14164342,2,5,6
14245406,2,4,6
14904149,3,5,5
15089061,1,5,6
15334801,3,3,3
15923424,10,5,6
16235926,2,5,6
16360799,2,5,6
16461315,3,5,6
16489588,2,4,5
16489633,2,4,5
16835791,2,5,6
17050719,2,5,6
17131915,3,4,6
17134089,2,5,6
17214380,3,5,6
17250940,2,5,6
17420537,2,5,6
17520737,2,5,6
17583953,4,4,6
17803977,10,3,6
17841699,2,5,6
18083382,2,5,6
18684921,2,5,6
19154131,2,5,6
19166559,3,5,6
19544218,3,3,5
19545261,2,5,6
19948914,2,5,6
20023377,2,5,6
20065885,2,5,6
20656985,2,5,6
20716925,4,5,6
20892912,2,5,6
21000612,2,3,5
21000977,2,5,6
21101840,2,5,5
21226946,2,5,5
21268925,2,5,6
21319420,6,5,6
21497429,2,4,6
21498776,11,3,5
21498778,11,2,3
21734880,1,5,6
21807056,2,5,6
21821388,2,5,6
21823360,1,5,6
21891796,3,5,6
22371829,2,5,6
22632244,2,5,6
22698352,3,5,6
22762163,9,5,6
22798672,1,5,6
23298253,3,3,5
23392976,1,5,6
23531821,2,5,6
23595811,2,5,6
23762526,3,5,6
23765262,2,5,6
24002214,10,5,6
24056472,2,5,6
24156068,2,5,6
24157264,3,5,6
24307687,2,5,6
24585554,3,4,6
24840747,1,4,5
25172368,2,5,6
26967693,2,5,6
26967781,2,5,6
27145953,2,5,6
27474283,3,5,6
27487541,2,5,6
27615453,1,5,6
27724110,1,5,6
27771986,1,5,6
27790781,2,5,6
27791050,2,5,6
27791120,2,5,6
28044928,1,5,6
28090819,2,5,6
28238148,2,5,6
28295622,2,5,6
28401128,1,5,6
28534246,8,5,6
28535995,3,5,6
28679379,2,5,6
28994976,3,5,6
29227939,3,5,6
29412399,2,5,6
29676945,9,5,6
29726799,2,5,6
29840791,2,5,6
29893138,2,4,6
29905856,2,5,6
29935665,2,5,6
30190862,2,5,6
30495459,2,5,6
30495461,2,5,6
30728139,2,5,5
30806341,2,5,6
31165135,2,5,6
31297630,2,5,6
31484288,3,5,6
31747344,2,5,6
31816261,5,5,6
32326533,10,5,6
32534791,10,5,6
32639817,2,5,6
32649136,2,5,5
32720565,3,4,6
33043392,2,5,6
33494499,6,5,6
33512807,2,5,6
33730613,1,5,6
33734871,2,5,6
33761269,3,5,6
34243686,3,3,6
34918348,2,5,6
553515,1,5,4
691643,2,5,4
767645,2,5,6
984744,3,5,6
2643549,1,5,5
2908116,1,5,6
3807587,2,5,6
5504165,1,5,5
5719146,4,5,6
5890439,2,5,5
6335068,1,5,5
6406358,1,5,5
8707349,2,5,6
9113925,2,5,6
9286925,1,5,5
9834485,2,5,6
10053569,1,5,5
11321929,1,5,6
13446940,1,5,6
13596427,1,5,5
13797755,4,5,6
14857017,1,5,5
15711708,2,5,5
15814792,1,5,5
