id,price_sky,score_reviews_sky,location_sky
74169,2,5,6
233795,7,5,6
255104,3,5,6
272890,3,2,6
272892,3,3,6
281710,1,5,6
314620,1,5,6
381512,3,5,6
400300,3,5,6
422744,1,5,6
427972,1,5,6
451490,1,5,6
462027,2,5,6
466141,1,5,6
519218,1,5,5
647678,2,5,6
652308,1,5,6
721653,2,5,6
786494,1,5,6
868679,3,5,6
892048,1,5,6
950479,2,5,5
978065,1,5,5
979042,3,5,6
1010314,6,5,6
1061453,2,5,6
1111330,2,5,6
1217287,2,5,6
1258803,1,5,6
1421956,2,5,5
1572470,1,4,5
1590932,2,5,6
1605816,1,5,6
1902250,1,5,6
2086660,1,5,6
2340706,2,5,6
2341162,2,5,6
2359370,3,5,6
2500358,4,5,5
2598713,1,5,6
2641099,3,2,6
2719756,2,5,6
3054737,1,5,6
3236836,2,5,6
3410161,1,5,6
3535862,2,5,6
3750048,2,5,6
3967100,2,5,6
4010336,1,5,6
4134757,1,5,6
4185985,2,5,6
4309058,9,5,6
4330672,2,5,6
4346630,2,5,6
4361195,2,5,6
4374397,1,5,5
4408351,2,5,6
4413451,2,5,6
4514212,2,5,6
4517111,1,5,6
4531221,2,5,6
4536093,1,5,6
4602058,1,5,6
4620284,2,5,6
4641275,2,5,6
4641977,1,5,6
4666568,2,5,6
4740511,3,3,5
4750081,1,5,6
4820110,3,5,6
4828844,2,5,6
4828916,2,5,6
4829008,2,5,6
4829023,2,5,6
4829047,2,5,6
4916326,1,5,6
4927626,1,5,6
4939627,2,5,6
4962489,2,5,6
4984634,1,5,6
5098399,1,5,6
5166510,2,5,6
5201029,1,5,6
5228590,2,5,6
5234251,2,5,6
5235430,1,5,6
5307511,9,5,6
5327105,2,5,6
5336122,3,5,6
5362538,3,5,6
5395695,1,5,6
5405025,2,5,6
5543433,1,5,6
5585052,2,5,6
5588618,1,5,6
5612958,2,5,6
5624101,1,5,6
5625937,2,5,6
5627646,5,5,6
5650664,2,3,5
5658806,1,5,6
5683617,2,5,6
5689490,1,5,6
5693176,2,5,6
5714949,2,5,6
5726786,2,5,6
5753178,4,5,6
5763931,1,5,6
5769476,2,5,6
5769827,2,5,6
5769908,3,5,6
5770615,2,5,6
5822095,2,5,5
5824310,2,5,6
5831156,2,5,6
5879060,2,4,6
5885995,2,5,6
5887931,2,5,6
5895321,3,5,6
5944096,2,5,6
5952795,2,5,6
6075297,1,5,6
6092816,2,5,6
6151633,1,5,6
6190123,2,5,6
6217959,2,5,6
6220792,2,4,6
6265351,1,5,6
6267882,2,5,6
6271080,1,5,6
6308397,2,5,6
6354590,2,5,6
6406205,2,5,5
6450360,2,5,6
6470721,2,5,6
6477545,2,5,6
6564492,2,5,6
6564611,1,5,6
6769860,1,5,6
6796044,1,4,6
6807465,1,5,6
6816646,1,5,6
6851636,1,5,6
6965314,2,5,6
6998476,2,5,6
7001572,2,5,6
7019324,2,5,6
7254370,2,4,6
7313090,2,5,6
7393893,2,4,5
7943633,2,5,5
7996454,1,5,6
8022062,2,5,6
8277818,2,5,6
8364882,1,5,6
8395164,1,5,6
8626252,1,5,6
8646224,1,5,6
8678218,1,5,6
8713834,1,5,6
8770290,3,5,6
8927232,2,5,6
9085216,2,5,6
9308175,2,5,5
9348761,1,5,6
9421259,2,4,5
9457583,2,5,6
9892408,2,5,6
10032714,2,4,5
10610166,1,5,6
10622640,1,5,6
10693184,1,5,6
10873847,2,5,6
10917332,3,5,6
10942926,2,5,6
10984810,2,5,6
11158976,2,5,6
11194186,3,3,6
11275988,1,5,6
11487012,2,4,6
11490816,1,5,5
11500271,1,5,6
11708305,1,5,6
11729773,1,5,6
11978396,1,5,6
11983467,1,5,6
11996010,1,5,6
12063398,1,5,6
12112452,3,5,6
12127356,1,5,6
12286732,1,5,6
12340160,2,5,6
12351338,2,5,6
12361741,1,5,6
12428662,2,5,6
12464882,2,5,6
12532417,3,5,6
12689916,1,5,6
12959667,2,5,6
12965184,1,5,5
13053888,2,5,6
13187213,1,4,5
13302819,1,5,6
13336698,1,5,6
13456268,2,4,6
13503473,2,3,6
13808508,2,5,6
13986374,4,5,6
14025929,1,5,6
14109326,1,5,6
14131526,1,5,6
14477136,1,5,6
14492760,1,5,6
14651249,1,5,6
14720059,6,5,6
14834985,2,5,6
14835552,2,5,6
14840344,1,5,6
14960947,1,5,6
14986569,2,5,6
15151974,1,5,6
15233915,2,5,6
15292033,2,5,6
15406687,1,5,6
15474097,2,5,6
15533544,2,5,6
15542769,2,5,6
15638106,3,5,6
15927239,2,4,6
15927254,1,4,6
16152704,3,5,6
16161609,2,5,6
16167082,2,5,5
16210954,2,5,6
16250210,2,5,6
16296882,1,5,6
16306060,1,5,5
16331511,2,5,6
16356709,1,5,6
16404868,2,3,6
16459227,1,5,5
16472405,1,5,6
16681633,2,4,6
16884165,1,5,6
16923869,1,5,6
16925350,2,5,6
16944283,3,5,6
16951381,1,4,3
17039326,2,5,6
17095120,2,5,6
17173154,3,5,6
17278653,1,5,6
17411792,1,5,6
17416968,2,5,6
17550469,2,5,6
17554034,1,5,6
17558282,2,5,6
17612581,3,5,6
17618445,3,5,6
17618589,2,5,6
17666757,1,5,6
17712500,1,5,6
17727359,1,5,6
17817543,1,5,6
17818784,3,5,6
17838958,1,5,6
17901698,2,5,6
17915553,1,5,6
17925664,1,5,6
17971676,1,5,6
18036204,2,5,6
18054329,1,5,6
18077245,1,5,6
18085413,1,5,6
18374129,1,5,6
18400066,1,5,6
18456493,1,5,6
18648541,1,5,6
18666820,1,5,6
18723931,1,5,6
18821985,2,3,5
18923032,2,5,6
18985253,1,5,6
19052206,1,5,6
19061555,3,5,6
19080462,1,5,6
19138218,2,5,6
19150293,1,5,6
19204370,1,5,6
19221782,2,5,6
19308882,1,5,6
19374909,1,5,6
19434993,2,5,6
19451916,1,5,6
19516531,1,5,6
19605752,1,5,6
19627971,1,5,6
19714607,2,5,5
19716053,2,5,6
19796042,1,5,6
19824431,1,5,6
19858369,1,5,6
19874878,2,5,6
19978588,1,5,5
20098248,1,5,6
20118685,1,5,5
20152417,2,5,6
20372636,2,5,6
20597913,2,5,6
20635275,2,5,6
20739973,2,4,4
20781555,2,5,6
20818238,2,5,6
20832528,2,5,6
20844736,1,5,6
20962827,2,5,6
21100074,1,5,6
21100662,1,5,6
21133675,1,5,6
21211602,2,5,6
21300513,2,5,6
21318620,2,5,6
21388362,1,5,6
21465136,1,4,6
21479827,2,5,6
21558153,2,5,6
21602449,2,5,6
21618953,2,5,6
21646747,2,5,6
21659067,1,5,6
21662611,2,5,6
21670302,1,5,6
21675915,1,5,6
21692275,3,2,4
21710176,1,5,6
21763740,2,5,6
21774907,1,5,6
21844697,2,3,5
21860111,3,5,6
21881847,2,5,6
21993483,7,5,6
22078787,5,5,5
22081659,2,5,6
22112364,1,5,6
22183638,2,5,6
22223644,1,5,6
22259017,2,5,6
22301988,3,5,6
22318127,1,5,6
22385064,1,5,6
22473298,1,5,5
22547954,2,5,6
22578079,8,5,6
22607610,1,5,6
22648769,1,4,6
22659926,2,5,6
22695707,3,5,6
22697068,2,5,6
22698151,4,4,6
22765669,1,5,6
22804714,2,5,6
22898600,1,5,6
22953764,2,5,6
23048793,2,5,6
23118421,1,2,3
23141848,2,5,6
23142276,1,5,6
23179224,2,5,6
23182643,2,5,6
23262365,1,5,6
23286079,1,5,5
23298521,2,5,6
23299325,2,5,6
23353554,2,4,6
23425029,2,5,6
23430806,1,5,6
23498833,4,4,6
23534713,2,5,6
23538415,1,4,6
23559754,2,5,6
23560534,1,5,6
23576839,2,4,6
23625833,2,5,6
23728927,2,4,5
23782929,1,5,6
23798167,7,5,6
23816572,1,5,6
23899159,2,4,6
23933410,2,5,6
23953310,1,5,6
24054508,2,5,6
24056841,3,5,6
24107782,2,3,6
24107786,2,2,6
24118279,2,5,6
24156941,2,5,6
24168043,2,5,6
24176261,5,5,6
24191041,1,5,6
24199780,1,5,6
24214396,1,2,4
24228285,2,5,6
24262600,1,5,6
24285245,2,5,6
24296244,1,5,6
24303868,2,5,6
24323297,2,5,6
24327427,1,5,6
24333722,2,5,6
24364841,2,5,6
24364882,1,5,6
24366367,2,5,6
24371146,2,5,5
24373196,1,5,5
24383570,2,5,6
24415594,3,5,6
24415848,2,5,6
24417556,2,5,6
24451799,1,4,5
24475999,2,5,6
24493264,2,5,6
24585304,2,5,6
24747070,1,5,6
24750007,1,5,6
25068067,2,5,6
25069968,2,5,6
25178984,3,5,6
25473735,2,5,6
25473899,2,5,6
25529984,1,5,6
25532657,1,5,6
25831772,1,5,6
25853456,1,5,6
25861761,1,5,6
25908108,2,5,6
25936042,2,5,6
26025081,1,5,6
26033216,2,5,6
26052963,1,5,6
26150541,1,5,6
26411190,2,5,5
