id,price_sky,score_reviews_sky,location_sky
272886,3,5,6
272888,4,5,6
272896,3,5,6
273873,3,5,5
412833,3,5,6
538552,1,5,6
647254,2,4,6
976705,2,5,6
1340338,3,5,5
1841394,1,5,6
2126218,5,5,6
2258006,3,4,6
2545866,2,4,6
2671220,1,5,6
2976320,2,5,6
3172593,2,5,6
3725671,2,5,6
4071710,2,4,6
4072165,1,5,5
4169170,3,5,6
4303371,2,5,6
4328185,2,5,6
4523509,1,5,6
4683898,1,5,6
4829030,2,5,6
4852512,3,5,6
5210902,2,4,6
5357335,2,5,6
5584663,1,5,6
5734600,1,5,6
5768519,2,5,6
5998574,2,5,6
6083374,5,5,6
6087846,1,5,6
6141117,2,5,5
6225278,7,5,5
6311306,1,5,6
6395947,1,5,6
6531513,2,5,6
6594510,3,5,6
7105140,2,5,6
8026797,2,5,6
8139717,3,5,6
8297175,2,5,6
8683301,1,5,6
8911641,2,5,6
9192800,2,5,6
10206214,2,5,6
10759100,3,5,5
10958370,3,5,6
11312465,2,5,6
11634942,2,5,6
11752141,2,5,6
12123707,1,5,6
12698747,2,5,6
12827074,1,5,6
13672563,2,5,6
14343789,1,5,6
15364282,2,5,6
16119296,1,5,6
16213411,1,5,6
16241678,1,5,6
17021101,2,5,6
17216848,2,5,6
17474206,3,5,5
17565476,2,4,4
17897766,2,5,6
18030963,2,5,6
18176298,2,5,6
18700447,3,5,6
18785925,2,5,6
18787109,2,5,6
19139430,2,5,6
21180132,3,5,6
21353157,2,5,6
21480742,3,5,6
21573785,1,5,5
21670331,2,5,6
22642991,3,5,6
22741793,1,4,4
22900451,1,5,5
22951366,1,5,5
23075483,1,5,6
23136780,2,5,6
23427519,1,4,5
23492696,1,5,6
23577090,4,5,6
23724533,1,5,6
23759910,2,5,6
24081228,1,5,6
24126253,2,5,6
24175188,3,5,6
24242897,1,5,6
25793570,1,5,6
27157086,1,5,6
27356149,1,5,6
27365196,1,5,6
27453822,1,5,6
27954458,2,5,6
28441081,2,5,6
28663567,1,5,6
29113627,1,5,4
29154279,2,5,5
30598561,1,5,6
30733172,2,5,6
32205161,1,5,6
32398899,2,5,6
32509338,1,5,6
32523584,2,2,1
32544346,2,5,6
32760377,5,5,6
32826838,2,5,6
33133323,2,5,6
33423963,4,5,6
33604097,2,5,6
33626147,3,5,6
33964568,1,5,6
35986257,2,4,6
46536,1,5,5
416072,1,5,5
547588,2,5,5
1052609,1,4,4
1285834,1,5,5
2286357,1,5,4
2504687,1,5,4
2696806,1,5,6
2804488,1,4,4
4102793,2,5,6
4103846,1,5,6
4272255,1,5,6
4344995,2,5,5
4749944,1,5,6
4826011,2,5,6
5528648,1,5,5
5916088,1,5,5
6190690,1,5,5
6221787,1,5,5
6616969,1,4,5
6648893,1,5,5
6780828,1,5,5
8755053,1,5,5
9640584,1,5,5
10919999,1,5,4
11001885,1,5,6
11727769,1,5,5
13504827,1,5,4
13775633,1,5,6
15440159,1,5,5
16146101,1,4,4
16907857,1,5,5
17132883,1,5,5
17536531,1,5,5
17727372,1,4,5
17851250,3,5,5
18002053,1,5,5
18033356,1,5,5
18034556,1,5,5
19204345,2,5,5
20159070,1,5,5
20753428,3,4,4
20986699,1,4,5
21100490,1,5,5
21291926,1,5,5
21537118,1,5,6
21634073,1,4,5
21655590,2,4,2
21900652,3,1,6
21918034,1,5,6
22147427,1,3,4
22160931,1,5,4
22460879,2,2,4
22482757,1,5,5
22624378,2,5,6
22786048,1,5,5
23769021,1,5,5
23969907,2,5,6
24054557,1,5,5
24132305,1,5,5
25245028,1,5,6
25252567,1,4,5
25978096,1,5,5
26253281,1,5,5
26591071,1,5,5
26872946,1,5,5
28338307,2,5,5
28703168,1,5,6
29381651,3,4,5
29433789,1,5,5
29527971,1,5,6
29656097,1,5,5
30143766,1,5,6
30145104,1,5,6
30346695,2,5,6
30687788,1,5,6
31190006,1,5,6
31890362,1,5,5
32053305,1,5,5
32260902,1,5,4
33546513,1,5,5
33684833,1,5,6
34305701,1,5,6
34351826,2,5,6
34552331,1,3,4
34964407,1,5,6
35511447,1,5,6
468028,1,5,6
589496,1,5,6
601343,1,5,6
1188042,1,5,5
1208823,2,5,6
1224715,2,5,6
2414614,1,5,5
2433950,2,5,5
2477342,2,5,5
2592603,3,5,6
2693468,1,5,6
2774929,1,5,6
4467521,2,1,4
4677718,1,5,5
4906671,1,5,6
5473132,2,5,6
5829504,1,5,6
6151993,2,5,5
6173626,8,5,6
6286752,2,5,5
6480859,1,5,5
6488008,1,5,5
6552099,2,5,5
6554049,2,4,6
6847388,2,3,3
6953452,1,5,5
8614795,1,5,5
8714260,4,5,5
8786591,1,5,6
8976470,3,5,5
10844983,3,4,6
10917316,3,5,6
11704709,1,5,6
12051864,1,5,6
12281163,4,5,6
13111112,1,5,6
14729990,1,4,5
15651267,1,5,6
15698124,2,5,6
16311072,1,5,6
16760455,1,5,6
16980241,2,5,5
18026660,2,5,6
18884880,2,5,5
19474929,2,5,6
20859003,1,5,5
21106324,1,5,6
22149374,2,5,6
22190993,1,5,5
22445224,1,5,6
23096052,2,5,6
23830869,1,4,5
