id,price_sky,score_reviews_sky,location_sky
73892,1,5,6
77958,1,5,6
132705,1,5,5
141833,2,5,6
289063,1,5,6
323241,2,5,6
323556,2,5,6
327452,1,5,6
348111,1,5,6
348448,1,5,6
434334,2,5,6
434379,1,5,6
645501,1,5,6
709966,1,5,5
715392,1,5,6
739252,1,5,6
753046,1,5,5
768969,1,5,6
815097,2,5,6
849862,2,5,6
922867,1,5,6
935594,2,5,6
996428,2,5,6
1030247,2,5,6
1048597,2,5,6
1106842,2,5,6
1113663,3,5,5
1119298,2,3,3
1375952,1,5,6
1641307,1,5,6
1642286,1,5,6
1658199,2,5,6
1801571,2,5,6
1847245,1,4,6
1907780,1,5,6
2036788,1,5,5
2084979,2,5,6
2090608,1,5,6
2137508,1,5,6
2249117,2,5,6
2277182,2,5,6
2389266,1,5,6
2389778,2,5,6
2422568,1,5,6
2464873,2,5,6
2562280,2,5,6
2600990,1,5,6
2623643,2,5,6
2643620,2,5,6
2718812,1,5,6
3010021,3,5,6
3120799,1,5,6
3143196,1,5,5
3181504,1,5,6
3295761,2,5,6
3298322,1,5,6
3518723,2,5,6
3707774,2,5,6
3963881,1,5,6
4010761,1,5,6
4018122,2,5,6
4061472,1,4,6
4152963,1,5,6
4392141,2,5,6
4436997,1,5,6
4483022,1,5,6
4487775,1,5,6
4523562,1,5,6
4581133,1,5,5
4708123,1,5,6
4727249,1,5,5
4783271,1,5,6
4785145,1,5,6
4828893,2,5,6
5028391,1,5,6
5044316,1,5,6
5409250,2,5,6
5478835,1,5,6
5554356,2,5,6
5570784,2,5,6
5581156,1,5,6
5591650,1,5,6
5626721,1,5,6
5678780,1,5,6
5813037,1,5,6
5828493,1,5,5
5899959,2,5,6
5916844,1,5,6
5922909,1,5,6
5938979,1,5,6
5953275,2,5,6
6070234,1,5,6
6190718,2,5,6
6207418,1,5,6
6370594,1,5,6
6409584,1,5,6
6423852,1,5,6
6507624,1,4,6
6521744,1,5,6
6632351,1,5,6
6668801,2,5,6
6710718,1,5,6
6904407,1,5,6
6967186,2,5,6
6980585,1,5,6
7037152,1,5,6
7067375,1,5,6
7237565,1,5,6
7320368,2,5,6
8022469,2,5,6
8043406,2,4,6
8078654,2,5,4
8142743,2,5,6
8149129,2,5,6
8201598,2,4,6
8367735,2,5,6
8471990,1,5,6
8529776,1,5,6
8712688,1,5,6
9289993,1,5,6
9290903,1,5,6
9398974,1,5,6
9451143,1,5,6
9474064,2,5,6
9601439,1,5,6
9914124,1,5,6
10045983,1,5,6
10110580,1,5,6
10116579,2,5,6
10671232,2,5,6
10748614,1,4,6
10770454,1,5,6
10828186,1,5,6
10920472,1,4,6
10940017,1,5,6
11115228,1,5,6
11158962,1,5,6
11203072,2,5,6
11279385,1,4,6
11471131,1,5,6
11560303,3,5,6
