id,price_sky,score_reviews_sky,location_sky
812419,1,5,6
8702270,1,5,6
10939834,1,5,6
11744742,1,5,5
17859135,1,5,6
18661398,1,5,6
18667794,1,3,3
18861328,1,4,5
19262134,1,5,6
20082955,1,4,6
20907171,1,5,6
21444479,1,5,6
30805868,1,4,6
31085589,1,5,6
31689025,1,5,6
36092697,1,5,6
3476129,1,5,5
7663949,1,5,5
9555612,1,5,5
10101732,1,5,5
17988108,1,5,5
20643724,1,5,5
28530576,1,5,6
33032775,1,5,5
33195495,2,5,5
33653056,2,5,4
2570226,1,5,6
5846495,1,5,4
21215069,1,5,6
21226336,1,3,6
23804563,1,5,6
35633177,1,5,6
1346155,2,5,5
7588349,1,5,5
19800359,1,5,5
24330302,1,5,6
27839269,1,5,6
28177934,1,5,4
33381305,1,5,6
34864203,1,5,5
1162305,1,5,6
2149020,1,5,6
13086848,1,5,6
15127555,2,4,4
19684228,1,5,3
27954409,1,5,6
31181089,1,5,5
14765178,1,5,5
15229838,1,5,6
21670807,1,5,5
24442086,1,4,4
33467129,1,5,6
15836025,1,5,6
24344408,1,5,6
27153981,1,5,3
31526559,1,4,4
34381300,1,5,6
1451817,1,5,3
3880151,1,5,6
4586423,1,1,3
4648199,1,5,5
5515389,1,5,5
10301155,1,5,6
16156304,1,5,5
21777850,1,5,6
25648424,1,5,6
28803817,1,5,5
15505428,1,5,6
28183568,1,5,5
29533014,1,4,6
